language,level,verb,translation
english,A1,be,być
english,A1,have,mieć
english,A1,do,robić
english,A1,say,mówić
english,A1,go,iść
english,A1,get,dostawać
english,A1,make,"robić, tworzyć"
english,A1,know,"wiedzieć, znać"
english,A1,think,myśleć
english,A1,see,widzieć
english,A1,come,przychodzić
english,A1,want,chcieć
english,A1,look,patrzeć
english,A1,use,używać
english,A1,find,znajdować
english,A1,give,dawać
english,A1,tell,powiedzieć
english,A1,work,pracować
english,A1,call,"dzwonić, nazywać"
english,A1,try,próbować
english,A1,ask,pytać
english,A1,need,potrzebować
english,A1,feel,czuć
english,A1,become,stawać się
english,A1,leave,opuszczać
english,A1,put,kłaść
english,A1,mean,znaczyć
english,A1,keep,trzymać
english,A1,let,pozwalać
english,A1,begin,zaczynać
english,A1,seem,wydawać się
english,A1,help,pomagać
english,A1,talk,rozmawiać
english,A1,turn,obracać
english,A1,start,zaczynać
english,A1,show,pokazywać
english,A1,hear,słyszeć
english,A1,play,"grać, bawić się"
english,A1,run,biegać
english,A1,move,ruszać się
english,A1,like,lubić
english,A1,live,"żyć, mieszkać"
english,A1,believe,wierzyć
english,A1,hold,trzymać
english,A1,bring,przynosić
english,A1,happen,dziać się
english,A1,write,pisać
english,A1,sit,siedzieć
english,A1,stand,stać
english,A1,lose,"gubić, przegrywać"
english,A1,pay,płacić
english,A1,meet,spotykać
english,A1,learn,uczyć się
english,A1,change,zmieniać
english,A1,understand,rozumieć
english,A1,watch,oglądać
english,A1,stop,zatrzymywać się
english,A1,speak,mówić
english,A1,read,czytać
english,A1,spend,"spędzać, wydawać"
english,A1,grow,rosnąć
english,A1,open,otwierać
english,A1,walk,chodzić
english,A1,win,wygrywać
english,A1,offer,oferować
english,A1,remember,pamiętać
english,A1,love,kochać
english,A1,wait,czekać
english,A1,send,wysyłać
english,A1,stay,zostawać
english,A1,fall,upadać
english,A1,cut,ciąć
english,A1,sleep,spać
english,A1,eat,jeść
english,A1,drink,pić
english,A1,buy,kupować
english,A1,sell,sprzedawać
english,A1,take,brać
english,A1,close,zamykać
english,A1,fly,latać
english,A1,swim,pływać
english,A1,sing,śpiewać
english,A1,dance,tańczyć
english,A1,drive,prowadzić (samochód)
english,A1,ride,"jeździć (na rowerze, konno)"
english,A1,cook,gotować
english,A1,clean,czyścić
english,A1,wash,myć
english,A1,listen,słuchać
english,A1,study,uczyć się
english,A1,teach,nauczać
english,A1,answer,odpowiadać
english,A1,break,łamać
english,A1,build,budować
english,A1,choose,wybierać
english,A1,draw,rysować
english,A1,dream,"marzyć, śnić"
english,A1,explain,wyjaśniać
english,A1,forget,zapominać
english,A1,hope,mieć nadzieję
english,A1,jump,skakać
english,A1,laugh,śmiać się
english,A1,cry,płakać
english,A1,smile,uśmiechać się
english,A1,paint,malować
english,A1,plan,planować
english,A1,rain,padać (deszcz)
english,A1,rest,odpoczywać
english,A1,share,dzielić się
english,A1,shout,krzyczeć
english,A1,smell,"pachnieć, wąchać"
english,A1,snow,padać (śnieg)
english,A1,wait for,czekać na
english,A1,wake up,budzić się
english,A1,wear,nosić (ubranie)
english,A1,worry,martwić się
english,A1,visit,odwiedzać
english,A1,travel,podróżować
english,A1,touch,dotykać
english,A1,thank,dziękować
english,A1,agree,zgadzać się
english,A1,arrive,przybywać
english,A1,ask for,prosić o
english,A1,borrow,pożyczać (od kogoś)
english,A1,lend,pożyczać (komuś)
english,A1,carry,nosić
english,A1,catch,łapać
english,A1,climb,wspinać się
english,A1,collect,zbierać
english,A1,complain,narzekać
english,A1,count,liczyć
english,A1,decide,decydować
english,A1,die,umierać
english,A1,enjoy,cieszyć się
english,A1,enter,wchodzić
english,A1,finish,kończyć
english,A1,follow,podążać
english,A1,guess,zgadywać
english,A1,hate,nienawidzić
english,A1,hurry,spieszyć się
english,A1,invite,zapraszać
english,A1,join,dołączać
english,A1,kill,zabijać
english,A1,lie,"leżeć, kłamać"
english,A1,marry,poślubić
english,A1,miss,"tęsknić, spóźnić się"
english,A1,order,zamawiać
